player_id,web_name,club_short,position,expected_role,draft_availability,cost,ownership_pct,total_season_xp,total_season_xmins,avg_xmins_season,xp_per_90_season,total_gw1_6_xp,total_gw1_6_xmins,avg_xmins_gw1_6,xp_per_90_gw1_6,n_gameweeks
206,Chadi Riad,CRY,DEF,Regular Starter,eligible,4.5,0.1,109.16,2356.0,62.0,4.1701,17.29,372.0,62.0,4.1834,38
448,Burn,NEW,DEF,Regular Starter,eligible,5.0,2.7,109.08,2356.0,62.0,4.1668,18.05,372.0,62.0,4.3681,38
97,Jensen,BRE,MID,Regular Starter,eligible,5.5,0.1,109.08,2356.0,62.0,4.1668,16.97,372.0,62.0,4.1045,38
442,Pope,NEW,GKP,Regular Starter,eligible,5.0,1.1,109.04,2356.0,62.0,4.1654,18.02,372.0,62.0,4.3588,38
488,Sangaré,NFO,MID,Regular Starter,eligible,5.0,0.4,108.89,2356.0,62.0,4.1595,17.28,372.0,62.0,4.1806,38
156,Neto,CHE,MID,Regular Starter,eligible,6.5,1.3,108.74,2356.0,62.0,4.154,17.23,372.0,62.0,4.1675,38
287,Millar,HUL,MID,Regular Starter,eligible,5.0,0.1,108.55,2356.0,62.0,4.1467,16.99,372.0,62.0,4.1112,38
210,Wharton,CRY,MID,Regular Starter,watch,5.5,0.2,108.13,2266.0,59.6,4.2945,13.42,282.0,47.0,4.2839,38
487,Dominguez,NFO,MID,Regular Starter,eligible,5.0,0.1,108.02,2356.0,62.0,4.1265,17.15,372.0,62.0,4.1492,38
471,Milenković,NFO,DEF,Regular Starter,eligible,5.5,2.2,107.91,2356.0,62.0,4.1224,17.22,372.0,62.0,4.1673,38
162,Andrey Santos,MUN,MID,Regular Starter,eligible,5.0,1.5,107.31,2356.0,62.0,4.0994,17.23,372.0,62.0,4.169,38
490,Wood,NFO,FWD,Regular Starter,eligible,6.0,1.8,107.05,2356.0,62.0,4.0895,17.03,372.0,62.0,4.12,38
87,Ajer,BRE,DEF,Regular Starter,eligible,4.5,0.9,106.74,2356.0,62.0,4.0777,16.36,372.0,62.0,3.9588,38
514,Tel,TOT,MID,Regular Starter,eligible,6.0,0.4,106.65,2356.0,62.0,4.0742,16.93,372.0,62.0,4.097,38
46,Barkley,AVL,MID,Regular Starter,eligible,5.0,0.2,106.39,2356.0,62.0,4.0642,16.84,372.0,62.0,4.0737,38
214,Kamada,CRY,MID,Regular Starter,eligible,5.0,0.3,106.35,2356.0,62.0,4.0627,16.85,372.0,62.0,4.0772,38
110,Rushworth,COV,GKP,Regular Starter,eligible,4.5,0.6,105.68,2356.0,62.0,4.0372,16.9,372.0,62.0,4.0887,38
122,Minteh,BHA,MID,Regular Starter,eligible,6.0,0.7,105.62,2356.0,62.0,4.0347,16.76,372.0,62.0,4.0553,38
