pair_name,gkp1_name,gkp1_club,gkp1_cost,gkp2_name,gkp2_club,gkp2_cost,combined_cost,combined_cost_band,total_mod_fdr,total_base_fdr,avg_mod_fdr,avg_base_fdr,n_gw_mod_le_2_25,pct_gw_mod_le_2_25,max_mod_fdr
Raya (ARS) + Leno (FUL),Raya,ARS,6.0,Leno,FUL,4.5,10.5,10.5,51.25,51.0,2.697,2.684,7,36.8,4.25
Pickford (EVE) + Horníček (NEW),Pickford,EVE,5.5,Horníček,NEW,5.0,10.5,10.5,51.75,52.0,2.724,2.737,6,31.6,3.75
Raya (ARS) + Scherpen (IPS),Raya,ARS,6.0,Scherpen,IPS,4.5,10.5,10.5,52.25,52.0,2.75,2.737,7,36.8,4.25
Raya (ARS) + Tzolakis (HUL),Raya,ARS,6.0,Tzolakis,HUL,4.6,10.6,10.5,48.75,50.0,2.566,2.632,8,42.1,3.75
A.Becker (LIV) + Donnarumma (MCI),A.Becker,LIV,5.5,Donnarumma,MCI,5.5,11.0,11.0,43.75,46.0,2.303,2.421,12,63.2,3.75
Pickford (EVE) + A.Becker (LIV),Pickford,EVE,5.5,A.Becker,LIV,5.5,11.0,11.0,45.25,47.0,2.382,2.474,11,57.9,3.75
Pickford (EVE) + Donnarumma (MCI),Pickford,EVE,5.5,Donnarumma,MCI,5.5,11.0,11.0,46.25,48.0,2.434,2.526,11,57.9,4.25
Raya (ARS) + Trafford (LEE),Raya,ARS,6.0,Trafford,LEE,5.0,11.0,11.0,46.75,48.0,2.461,2.526,9,47.4,3.25
Raya (ARS) + Suzuki (AVL),Raya,ARS,6.0,Suzuki,AVL,5.0,11.0,11.0,47.25,49.0,2.487,2.579,10,52.6,3.75
Raya (ARS) + Martinez (CHE),Raya,ARS,6.0,Martinez,CHE,5.0,11.0,11.0,48.25,50.0,2.539,2.632,9,47.4,3.75
Raya (ARS) + Kelleher (BRE),Raya,ARS,6.0,Kelleher,BRE,5.0,11.0,11.0,48.75,49.0,2.566,2.579,9,47.4,3.75
Raya (ARS) + Horníček (NEW),Raya,ARS,6.0,Horníček,NEW,5.0,11.0,11.0,49.25,50.0,2.592,2.632,7,36.8,3.25
Raya (ARS) + Henderson (CRY),Raya,ARS,6.0,Henderson,CRY,5.0,11.0,11.0,49.75,50.0,2.618,2.632,8,42.1,3.75
Raya (ARS) + Roefs (SUN),Raya,ARS,6.0,Roefs,SUN,5.0,11.0,11.0,50.25,50.0,2.645,2.632,7,36.8,3.25
Raya (ARS) + Sels (NFO),Raya,ARS,6.0,Sels,NFO,5.0,11.0,11.0,50.75,51.0,2.671,2.684,8,42.1,4.25
Raya (ARS) + Lammens (MUN),Raya,ARS,6.0,Lammens,MUN,5.0,11.0,11.0,50.75,52.0,2.671,2.737,7,36.8,4.25
Raya (ARS) + Donnarumma (MCI),Raya,ARS,6.0,Donnarumma,MCI,5.5,11.5,11.5,44.75,47.0,2.355,2.474,11,57.9,3.75
Raya (ARS) + A.Becker (LIV),Raya,ARS,6.0,A.Becker,LIV,5.5,11.5,11.5,47.25,48.0,2.487,2.526,10,52.6,3.75
Raya (ARS) + Pickford (EVE),Raya,ARS,6.0,Pickford,EVE,5.5,11.5,11.5,51.25,52.0,2.697,2.737,7,36.8,3.75
